File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\ByungKyu\Desktop\JDP\src\SubInfo\DrawGraph.java,243,174,153,16,52,39,17,212,0,0
C:\Users\ByungKyu\Desktop\JDP\src\SubInfo\newsPanel.java,167,114,100,6,22,0,31,122,0,0
C:\Users\ByungKyu\Desktop\JDP\src\SubInfo\Submain.java,51,37,34,1,10,7,4,43,0,0
C:\Users\ByungKyu\Desktop\JDP\src\SubInfo\twodayPanel.java,213,191,155,11,14,22,8,88,0,0
C:\Users\ByungKyu\Desktop\JDP\src\SubInfo\weekWeather.java,311,274,248,35,28,24,9,128,0,0
C:\Users\ByungKyu\Desktop\JDP\src\TaskManager\AddWindow.java,245,203,174,6,25,3,17,93,0,0
C:\Users\ByungKyu\Desktop\JDP\src\TaskManager\AlarmFrame.java,46,36,34,0,7,3,3,11,0,0
C:\Users\ByungKyu\Desktop\JDP\src\TaskManager\CalendarPanel.java,235,202,175,18,26,0,7,22,0,0
C:\Users\ByungKyu\Desktop\JDP\src\TaskManager\ContentPanel.java,46,34,31,1,10,0,2,2,0,0
C:\Users\ByungKyu\Desktop\JDP\src\TaskManager\EditWindow.java,251,203,175,8,30,4,18,101,0,0
C:\Users\ByungKyu\Desktop\JDP\src\TaskManager\FilterWindow.java,204,162,119,13,15,3,27,106,0,0
C:\Users\ByungKyu\Desktop\JDP\src\TaskManager\MainFrame.java,177,153,131,11,15,5,9,53,0,0
C:\Users\ByungKyu\Desktop\JDP\src\TaskManager\MenuBar.java,71,60,50,2,9,0,2,2,0,0
C:\Users\ByungKyu\Desktop\JDP\src\TaskManager\myDate.java,94,52,37,7,3,0,39,178,0,0
C:\Users\ByungKyu\Desktop\JDP\src\TaskManager\Task.java,145,71,50,8,8,0,66,274,0,0
C:\Users\ByungKyu\Desktop\JDP\src\TaskManager\TaskAlarm.java,20,12,9,0,5,0,3,5,0,0
C:\Users\ByungKyu\Desktop\JDP\src\TaskManager\TaskManager.java,8,6,4,0,2,0,0,0,0,0
C:\Users\ByungKyu\Desktop\JDP\src\TaskManager\TaskPanel.java,130,116,93,5,9,2,5,14,0,0
C:\Users\ByungKyu\Desktop\JDP\src\TaskManager\TodayScheduleFrame.java,184,164,139,13,9,6,11,44,0,0
C:\Users\ByungKyu\Desktop\JDP\src\TaskManager\ToDoList.java,428,344,272,20,34,44,50,623,0,0
C:\Users\ByungKyu\Desktop\JDP\src\TaskManager\WeatherPanel.java,162,141,124,12,8,0,13,31,0,0
C:\Users\ByungKyu\Desktop\JDP\src\Util\ApiExplorer.java,64,53,46,5,5,0,6,32,0,0
C:\Users\ByungKyu\Desktop\JDP\src\Util\FineDustExplorer.java,34,28,23,2,3,3,3,16,0,0
C:\Users\ByungKyu\Desktop\JDP\src\Util\FineDustParser.java,56,44,37,4,6,0,6,13,0,0
C:\Users\ByungKyu\Desktop\JDP\src\Util\ForecastExplorer.java,108,86,68,17,10,13,12,55,0,0
C:\Users\ByungKyu\Desktop\JDP\src\Util\ForecastMidExplorer.java,84,72,60,8,4,13,8,67,0,0
C:\Users\ByungKyu\Desktop\JDP\src\Util\ForecastMidParser.java,106,93,78,6,7,0,6,15,0,0
C:\Users\ByungKyu\Desktop\JDP\src\Util\ForecastParser.java,152,130,100,16,14,10,8,38,0,0
C:\Users\ByungKyu\Desktop\JDP\src\Util\NewsSAXParser.java,105,90,67,8,9,4,6,25,0,0
